product_category_name,product_category_name_english,
beleza_saude,health_beauty,heath_beauty
informatica_acessorios,computers_accessories,computer
automotivo,auto,other
cama_mesa_banho,bed_bath_table,furniture_houseware 
moveis_decoracao,furniture_decor,furniture_houseware 
esporte_lazer,sports_leisure,other
perfumaria,perfumery,heath_beauty
utilidades_domesticas,housewares,furniture_houseware 
telefonia,telephony,electronics
relogios_presentes,watches_gifts,watches
alimentos_bebidas,food_drink,food
bebes,baby,other
papelaria,stationery,stationery
tablets_impressao_imagem,tablets_printing_image,stationery
brinquedos,toys,entertainment
telefonia_fixa,fixed_telephony,furniture_houseware 
ferramentas_jardim,garden_tools,furniture_houseware 
fashion_bolsas_e_acessorios,fashion_bags_accessories,fashion
eletroportateis,small_appliances,electronics
consoles_games,consoles_games,entertainment
audio,audio,entertainment
fashion_calcados,fashion_shoes,fashion
cool_stuff,cool_stuff,other
malas_acessorios,luggage_accessories,fashion
climatizacao,air_conditioning,electronics
construcao_ferramentas_construcao,construction_tools_construction,construction_tools
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,furniture_houseware 
construcao_ferramentas_jardim,costruction_tools_garden,construction_tools
fashion_roupa_masculina,fashion_male_clothing,fashion
pet_shop,pet_shop,other
moveis_escritorio,office_furniture,furniture
market_place,market_place,other
eletronicos,electronics,electronics
eletrodomesticos,home_appliances,furniture_houseware 
artigos_de_festas,party_supplies,electronics
casa_conforto,home_confort,furniture_houseware 
construcao_ferramentas_ferramentas,costruction_tools_tools,construction_tools
agro_industria_e_comercio,agro_industry_and_commerce,other
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,furniture_houseware 
livros_tecnicos,books_technical,stationery
casa_construcao,home_construction,construction_tools
instrumentos_musicais,musical_instruments,entertainment
moveis_sala,furniture_living_room,furniture
construcao_ferramentas_iluminacao,construction_tools_lights,construction_tools
industria_comercio_e_negocios,industry_commerce_and_business,other
alimentos,food,food
artes,art,other
moveis_quarto,furniture_bedroom,furniture_houseware 
livros_interesse_geral,books_general_interest,stationery
construcao_ferramentas_seguranca,construction_tools_safety,construction_tools
fashion_underwear_e_moda_praia,fashion_underwear_beach,fashion
fashion_esporte,fashion_sport,fashion
sinalizacao_e_seguranca,signaling_and_security,other
pcs,computers,computer
artigos_de_natal,christmas_supplies,decor
fashion_roupa_feminina,fashio_female_clothing,fashion
eletrodomesticos_2,home_appliances_2,furniture_houseware 
livros_importados,books_imported,stationery
bebidas,drinks,food
cine_foto,cine_photo,other
la_cuisine,la_cuisine,furniture_houseware 
musica,music,entertainment
casa_conforto_2,home_comfort_2,furniture_houseware 
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,furniture_houseware 
cds_dvds_musicais,cds_dvds_musicals,entertainment
dvds_blu_ray,dvds_blu_ray,entertainment
flores,flowers,decor
artes_e_artesanato,arts_and_craftmanship,decor
fraldas_higiene,diapers_and_hygiene,heath_beauty
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,fashion
seguros_e_servicos,security_and_services,other
