score	comment	comment_english
5	Recebi bem antes do prazo estipulado.	I received it well before the stipulated time.
5	Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa	Congratulations lannister stores I loved shopping on the Internet safe and practical Congratulations to all happy Easter
4	aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho	efficient device. on the website the brand of the device is printed as 3disinfector and when it arrives it has another name...update with the correct brand since it is the same device
4	Mas um pouco ,travando...pelo valor ta Boa.  	But a little, locking... for the price it's good.
5	Vendedor confiável, produto ok e entrega antes do prazo.	Reliable seller, product ok and delivery on time.
2	GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU	I WOULD LIKE TO KNOW WHAT HAPPENED, I ALWAYS RECEIVED AND THIS PURCHASE NOW DISAPPOINTED ME
1	Péssimo	Terrible
5	Loja nota 10	Store note 10
5	obrigado pela atençao amim dispensada	thanks for the attention given me
5	A compra foi realizada facilmente.  A entrega foi efetuada muito antes do prazo dado.  O produto já começou a ser usado e até o presente,  sem problemas.	The purchase was carried out easily. Delivery was made long before the given time. The product has already started to be used and so far, without problems.
5	relógio muito bonito e barato.	very nice and cheap watch.
1	Não gostei ! Comprei gato por lebre	Did not like ! I bought a cat in a hare
1	Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.	I always buy online and delivery takes place before the agreed deadline, which I believe is the maximum deadline. In stark, the maximum period has expired and I still haven't received the product.
4	Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.	I received exactly what I expected. The other orders from other sellers were delayed, but this one arrived on time.
5	Recomendo ,	I recommend ,
5	muito boa 	very good
5	Tô completamente apaixonada, loja super responsável e confiável!	I'm completely in love, super responsible and reliable store!
1	Nada de chegar o meu pedido.	No getting my order.
5	Muito bom. muito cheiroso.	Very good. very fragrant.
5	otimo vendedor chegou ate antes do prazo , adorei o produto	great seller arrived before the deadline, loved the product
5	Processo de compra tranquilo e eficiente.	Smooth and efficient purchase process.
5	Tomara q dure pois é de pelinho.	I hope it lasts because it's made of fur.
1	recebi somente 1 controle Midea Split ESTILO.  Faltou Controle Remoto para Ar Condicionado Consul	I only received 1 Midea Split STYLE controller. Missing Remote Control for Air Conditioning Consul
5	boa	boa
5	MT lindo	Very beautiful
5	Ocorreu tudo como contratado sendo a entrega realizada antes do prazo    Estou satisfeita  	Everything went as contracted and the delivery was carried out before the deadline I am satisfied
5	Amei achei lindo ,muito delicado adorei	I loved it I thought it was beautiful, very delicate I loved it
